  I      S           RS          UE        DELS        THETA        VW          CF         RTHETA
  1  0.0000E+00  0.0000E+00  0.1004E+01  0.0000E+00  0.0000E+00  0.1232E+01  0.0000E+00  0.0000E+00
  2  0.2067E-01  0.3264E+05  0.5263E+00  0.1838E-03  0.1#IOE+01  0.0000E+00  0.3496E-02  0.1#IOE+01
  3  0.4131E-01  0.1074E+06  0.8670E+00  0.1587E-03  0.1#IOE+01  0.0000E+00  0.4213E-02  0.1#IOE+01
  4  0.6193E-01  0.1688E+06  0.9085E+00  0.1700E-03  0.1#IOE+01  0.0000E+00  0.3098E-02  0.1#IOE+01
  5  0.8253E-01  0.2347E+06  0.9479E+00  0.2100E-03  0.1#IOE+01  0.0000E+00  0.2266E-02  0.1#IOE+01
  6  0.1031E+00  0.3028E+06  0.9790E+00  0.2128E-03  0.1#IOE+01  0.0000E+00  0.2790E-02  0.1#IOE+01
  7  0.1237E+00  0.3722E+06  0.1003E+01  0.2245E-03  0.1#IOE+01  0.0000E+00  0.3708E-02  0.1#IOE+01
  8  0.1442E+00  0.4437E+06  0.1025E+01  0.2559E-03  0.1#IOE+01  0.0000E+00  0.4329E-02  0.1#IOE+01
  9  0.1648E+00  0.5169E+06  0.1046E+01  0.2980E-03  0.1#IOE+01  0.0000E+00  0.4400E-02  0.1#IOE+01
 10  0.1853E+00  0.5915E+06  0.1064E+01  0.3403E-03  0.1#IOE+01  0.0000E+00  0.4381E-02  0.1#IOE+01
 11  0.2058E+00  0.6671E+06  0.1080E+01  0.3834E-03  0.1#IOE+01  0.0000E+00  0.4256E-02  0.1#IOE+01
 12  0.2263E+00  0.7436E+06  0.1095E+01  0.4248E-03  0.1#IOE+01  0.0000E+00  0.4114E-02  0.1#IOE+01
 13  0.2468E+00  0.8210E+06  0.1109E+01  0.4640E-03  0.1#IOE+01  0.0000E+00  0.4026E-02  0.1#IOE+01
 14  0.2672E+00  0.8991E+06  0.1121E+01  0.5021E-03  0.1#IOE+01  0.0000E+00  0.3934E-02  0.1#IOE+01
 15  0.2877E+00  0.9778E+06  0.1133E+01  0.5393E-03  0.1#IOE+01  0.0000E+00  0.3864E-02  0.1#IOE+01
 16  0.3082E+00  0.1057E+07  0.1143E+01  0.5761E-03  0.1#IOE+01  0.0000E+00  0.3778E-02  0.1#IOE+01
 17  0.3286E+00  0.1136E+07  0.1153E+01  0.6121E-03  0.1#IOE+01  0.0000E+00  0.3724E-02  0.1#IOE+01
 18  0.3490E+00  0.1216E+07  0.1161E+01  0.6481E-03  0.1#IOE+01  0.0000E+00  0.3662E-02  0.1#IOE+01
 19  0.3695E+00  0.1296E+07  0.1169E+01  0.6843E-03  0.1#IOE+01  0.0000E+00  0.3612E-02  0.1#IOE+01
 20  0.3899E+00  0.1375E+07  0.1176E+01  0.7212E-03  0.1#IOE+01  0.0000E+00  0.3549E-02  0.1#IOE+01
 21  0.4103E+00  0.1454E+07  0.1182E+01  0.7586E-03  0.1#IOE+01  0.0000E+00  0.3501E-02  0.1#IOE+01
 22  0.4307E+00  0.1533E+07  0.1186E+01  0.7974E-03  0.1#IOE+01  0.0000E+00  0.3447E-02  0.1#IOE+01
 23  0.4511E+00  0.1610E+07  0.1190E+01  0.8377E-03  0.1#IOE+01  0.0000E+00  0.3395E-02  0.1#IOE+01
 24  0.4716E+00  0.1686E+07  0.1192E+01  0.8801E-03  0.1#IOE+01  0.0000E+00  0.3351E-02  0.1#IOE+01
 25  0.4920E+00  0.1761E+07  0.1193E+01  0.9255E-03  0.1#IOE+01  0.0000E+00  0.3299E-02  0.1#IOE+01
 26  0.5124E+00  0.1834E+07  0.1193E+01  0.9735E-03  0.1#IOE+01  0.0000E+00  0.3238E-02  0.1#IOE+01
 27  0.5328E+00  0.1905E+07  0.1192E+01  0.1024E-02  0.1#IOE+01  0.0000E+00  0.3166E-02  0.1#IOE+01
 28  0.5532E+00  0.1974E+07  0.1189E+01  0.1078E-02  0.1#IOE+01  0.0000E+00  0.3121E-02  0.1#IOE+01
 29  0.5736E+00  0.2040E+07  0.1186E+01  0.1136E-02  0.1#IOE+01  0.0000E+00  0.3069E-02  0.1#IOE+01
 30  0.5940E+00  0.2104E+07  0.1181E+01  0.1198E-02  0.1#IOE+01  0.0000E+00  0.3006E-02  0.1#IOE+01
 31  0.6144E+00  0.2166E+07  0.1175E+01  0.1264E-02  0.1#IOE+01  0.0000E+00  0.2945E-02  0.1#IOE+01
 32  0.6349E+00  0.2225E+07  0.1168E+01  0.1335E-02  0.1#IOE+01  0.0000E+00  0.2885E-02  0.1#IOE+01
 33  0.6553E+00  0.2281E+07  0.1160E+01  0.1412E-02  0.1#IOE+01  0.0000E+00  0.2822E-02  0.1#IOE+01
 34  0.6757E+00  0.2334E+07  0.1152E+01  0.1494E-02  0.1#IOE+01  0.0000E+00  0.2741E-02  0.1#IOE+01
 35  0.6962E+00  0.2385E+07  0.1142E+01  0.1583E-02  0.1#IOE+01  0.0000E+00  0.2692E-02  0.1#IOE+01
 36  0.7166E+00  0.2432E+07  0.1131E+01  0.1680E-02  0.1#IOE+01  0.0000E+00  0.2615E-02  0.1#IOE+01
 37  0.7371E+00  0.2476E+07  0.1120E+01  0.1786E-02  0.1#IOE+01  0.0000E+00  0.2536E-02  0.1#IOE+01
 38  0.7575E+00  0.2516E+07  0.1107E+01  0.1903E-02  0.1#IOE+01  0.0000E+00  0.2469E-02  0.1#IOE+01
 39  0.7780E+00  0.2552E+07  0.1093E+01  0.2035E-02  0.1#IOE+01  0.0000E+00  0.2384E-02  0.1#IOE+01
 40  0.7985E+00  0.2584E+07  0.1079E+01  0.2184E-02  0.1#IOE+01  0.0000E+00  0.2299E-02  0.1#IOE+01
 41  0.8190E+00  0.2610E+07  0.1062E+01  0.2356E-02  0.1#IOE+01  0.0000E+00  0.2195E-02  0.1#IOE+01
 42  0.8395E+00  0.2630E+07  0.1044E+01  0.2559E-02  0.1#IOE+01  0.0000E+00  0.2082E-02  0.1#IOE+01
 43  0.8600E+00  0.2643E+07  0.1025E+01  0.2805E-02  0.1#IOE+01  0.0000E+00  0.1940E-02  0.1#IOE+01
 44  0.8805E+00  0.2648E+07  0.1002E+01  0.3118E-02  0.1#IOE+01  0.0000E+00  0.1764E-02  0.1#IOE+01
 45  0.9011E+00  0.2638E+07  0.9759E+00  0.3488E-02  0.1#IOE+01  0.0000E+00  0.1610E-02  0.1#IOE+01
 46  0.9216E+00  0.2648E+07  0.9579E+00  0.3777E-02  0.1#IOE+01  0.0000E+00  0.1615E-02  0.1#IOE+01
 47  0.9422E+00  0.2686E+07  0.9503E+00  0.4125E-02  0.1#IOE+01  0.0000E+00  0.1426E-02  0.1#IOE+01
 48  0.9628E+00  0.2623E+07  0.9082E+00  0.5270E-02  0.1#IOE+01  0.0000E+00  0.6931E-03  0.1#IOE+01
 49  0.9834E+00  0.2476E+07  0.8393E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
