  I      S           RS          UE        DELS        THETA        VW          CF         RTHETA
  1  0.0000E+00  0.0000E+00  0.1023E+01  0.0000E+00  0.0000E+00  0.1232E+01  0.0000E+00  0.0000E+00
  2  0.2067E-01  0.3118E+05  0.5027E+00  0.2157E-03  0.1#IOE+01  0.0000E+00  0.2617E-02  0.1#IOE+01
  3  0.4131E-01  0.1041E+06  0.8403E+00  0.1735E-03  0.1#IOE+01  0.0000E+00  0.4159E-02  0.1#IOE+01
  4  0.6193E-01  0.1637E+06  0.8812E+00  0.1763E-03  0.1#IOE+01  0.0000E+00  0.3136E-02  0.1#IOE+01
  5  0.8253E-01  0.2283E+06  0.9221E+00  0.2146E-03  0.1#IOE+01  0.0000E+00  0.2316E-02  0.1#IOE+01
  6  0.1031E+00  0.2954E+06  0.9549E+00  0.2161E-03  0.1#IOE+01  0.0000E+00  0.2828E-02  0.1#IOE+01
  7  0.1237E+00  0.3638E+06  0.9807E+00  0.2265E-03  0.1#IOE+01  0.0000E+00  0.3731E-02  0.1#IOE+01
  8  0.1442E+00  0.4347E+06  0.1005E+01  0.2559E-03  0.1#IOE+01  0.0000E+00  0.4367E-02  0.1#IOE+01
  9  0.1648E+00  0.5076E+06  0.1027E+01  0.2967E-03  0.1#IOE+01  0.0000E+00  0.4456E-02  0.1#IOE+01
 10  0.1853E+00  0.5822E+06  0.1047E+01  0.3378E-03  0.1#IOE+01  0.0000E+00  0.4422E-02  0.1#IOE+01
 11  0.2058E+00  0.6581E+06  0.1066E+01  0.3787E-03  0.1#IOE+01  0.0000E+00  0.4306E-02  0.1#IOE+01
 12  0.2263E+00  0.7354E+06  0.1083E+01  0.4175E-03  0.1#IOE+01  0.0000E+00  0.4170E-02  0.1#IOE+01
 13  0.2468E+00  0.8140E+06  0.1100E+01  0.4540E-03  0.1#IOE+01  0.0000E+00  0.4087E-02  0.1#IOE+01
 14  0.2672E+00  0.8939E+06  0.1115E+01  0.4887E-03  0.1#IOE+01  0.0000E+00  0.4001E-02  0.1#IOE+01
 15  0.2877E+00  0.9750E+06  0.1130E+01  0.5220E-03  0.1#IOE+01  0.0000E+00  0.3938E-02  0.1#IOE+01
 16  0.3082E+00  0.1057E+07  0.1144E+01  0.5539E-03  0.1#IOE+01  0.0000E+00  0.3863E-02  0.1#IOE+01
 17  0.3286E+00  0.1142E+07  0.1158E+01  0.5831E-03  0.1#IOE+01  0.0000E+00  0.3824E-02  0.1#IOE+01
 18  0.3490E+00  0.1228E+07  0.1173E+01  0.6113E-03  0.1#IOE+01  0.0000E+00  0.3769E-02  0.1#IOE+01
 19  0.3695E+00  0.1314E+07  0.1185E+01  0.6404E-03  0.1#IOE+01  0.0000E+00  0.3722E-02  0.1#IOE+01
 20  0.3899E+00  0.1400E+07  0.1197E+01  0.6700E-03  0.1#IOE+01  0.0000E+00  0.3676E-02  0.1#IOE+01
 21  0.4103E+00  0.1488E+07  0.1209E+01  0.6986E-03  0.1#IOE+01  0.0000E+00  0.3626E-02  0.1#IOE+01
 22  0.4307E+00  0.1576E+07  0.1220E+01  0.7265E-03  0.1#IOE+01  0.0000E+00  0.3590E-02  0.1#IOE+01
 23  0.4511E+00  0.1665E+07  0.1231E+01  0.7539E-03  0.1#IOE+01  0.0000E+00  0.3552E-02  0.1#IOE+01
 24  0.4715E+00  0.1756E+07  0.1241E+01  0.7808E-03  0.1#IOE+01  0.0000E+00  0.3521E-02  0.1#IOE+01
 25  0.4920E+00  0.1846E+07  0.1251E+01  0.8075E-03  0.1#IOE+01  0.0000E+00  0.3488E-02  0.1#IOE+01
 26  0.5124E+00  0.1938E+07  0.1261E+01  0.8337E-03  0.1#IOE+01  0.0000E+00  0.3459E-02  0.1#IOE+01
 27  0.5328E+00  0.2030E+07  0.1270E+01  0.8595E-03  0.1#IOE+01  0.0000E+00  0.3430E-02  0.1#IOE+01
 28  0.5532E+00  0.2124E+07  0.1280E+01  0.8850E-03  0.1#IOE+01  0.0000E+00  0.3404E-02  0.1#IOE+01
 29  0.5736E+00  0.2217E+07  0.1289E+01  0.9102E-03  0.1#IOE+01  0.0000E+00  0.3378E-02  0.1#IOE+01
 30  0.5940E+00  0.2312E+07  0.1297E+01  0.9351E-03  0.1#IOE+01  0.0000E+00  0.3355E-02  0.1#IOE+01
 31  0.6144E+00  0.2407E+07  0.1306E+01  0.9599E-03  0.1#IOE+01  0.0000E+00  0.3333E-02  0.1#IOE+01
 32  0.6349E+00  0.2503E+07  0.1314E+01  0.9847E-03  0.1#IOE+01  0.0000E+00  0.3313E-02  0.1#IOE+01
 33  0.6553E+00  0.2599E+07  0.1322E+01  0.1010E-02  0.1#IOE+01  0.0000E+00  0.3286E-02  0.1#IOE+01
 34  0.6757E+00  0.2696E+07  0.1330E+01  0.1036E-02  0.1#IOE+01  0.0000E+00  0.3260E-02  0.1#IOE+01
 35  0.6962E+00  0.2790E+07  0.1336E+01  0.1070E-02  0.1#IOE+01  0.0000E+00  0.3215E-02  0.1#IOE+01
 36  0.7166E+00  0.2869E+07  0.1334E+01  0.1134E-02  0.1#IOE+01  0.0000E+00  0.3066E-02  0.1#IOE+01
 37  0.7371E+00  0.2896E+07  0.1310E+01  0.1573E-02  0.1#IOE+01  0.0000E+00  0.1838E-02  0.1#IOE+01
 38  0.7575E+00  0.2296E+07  0.1011E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
